sample	microbial objects
70	"{""Propionibacterium_acnes-13"", ""Lactobacillus-9"", ""Acinetobacter_junii-13"", ""Sphingobium-10"", ""Acidovorax-11"", ""Comamonas_testosteroni-11"", ""Cloacibacterium-13"", ""Roseomonas-10"", ""Enterococcus-12"", ""Gemella-11"", ""Acinetobacter_tjernbergiae-13"", ""Actinobaculum-7"", ""Altererythrobacter-10""}"
71	"{""Propionibacterium_acnes-10"", ""Comamonas_jiangduensis-9"", ""Acinetobacter_junii-13"", ""Acidovorax-13"", ""Zoogloea-9"", ""Comamonas_testosteroni-12"", ""Cloacibacterium-12"", ""Pseudomonas-7"", ""Comamonas_denitrificans-7"", ""Brevibacterium-12"", ""Vulcaniibacterium-10"", ""Novosphingobium-10"", ""Chryseobacterium-9"", ""Azonexus-10"", ""Reyranella-8"", ""Acinetobacter_tjernbergiae-13"", ""Bergeyella-8"", ""Moraxella-9"", ""Gemmata-10"", ""Methyloversatilis-9""}"
72	"{""Propionibacterium_acnes-13"", ""Lactobacillus-11"", ""Sphingomonas-7"", ""Prevotella-9"", ""Acidovorax-8"", ""Ochrobactrum-11"", ""Cellulosimicrobium-13"", ""Bordetella-11"", ""Bosea-8"", ""Pseudoxanthomonas-10"", ""Brevibacterium-12"", ""Stenotrophomonas-10"", ""Delftia-14"", ""Brachybacterium-9"", ""Paracraurococcus-8"", ""Pigmentiphaga-9"", ""Achromobacter-12"", ""Bradyrhizobium-9""}"
73	"{""Propionibacterium_acnes-13"", ""Herbaspirillum-9"", ""Corynebacterium-8"", ""Vulcaniibacterium-10"", ""Staphylococcus-9"", ""Novosphingobium-9"", ""Blastomonas-8"", ""Enhydrobacter-8"", ""Methylobacterium-11"", ""Moraxella-12"", ""Noviherbaspirillum-12"", ""Virgibacillus-14"", ""Scopulibacillus-9"", ""Snodgrassella-13"", ""Methyloversatilis-12""}"
74	"{""Propionibacterium_acnes-14"", ""Sphingomonas-10"", ""Acinetobacter_junii-11"", ""Comamonas_testosteroni-10"", ""Methylobacter-10"", ""Microlunatus-12"", ""Janthinobacterium-14"", ""Acinetobacter_tjernbergiae-12"", ""Moraxella-12"", ""Meiothermus-9"", ""Nitrolancea-9"", ""Snodgrassella-8""}"
75	"{""Acidovorax-8"", ""Variovorax-14"", ""Pseudomonas-9"", ""Dietzia-11"", ""Pedobacter-13"", ""Rhizobium-11"", ""Comamonas_nitrativorans-11"", ""Bacillus-10"", ""Klebsiella-9"", ""Shigella-8"", ""Methylobacterium-13"", ""Bergeyella-10"", ""Cellulomonas-8"", ""Rhodococcus-11"", ""Acinetobacter_guillouiae-11""}"
76	"{""Propionibacterium_acnes-12"", ""Sphingomonas-11"", ""Variovorax-14"", ""Aciditerrimonas-11"", ""Romboutsia-12"", ""Corynebacterium-10"", ""Staphylococcus-8"", ""Methylobacterium-12"", ""Rhodococcus-9"", ""Achromobacter-13"", ""Noviherbaspirillum-13"", ""Finegoldia-10"", ""Spirosoma-9""}"
77	"{""Propionibacterium_acnes-11"", ""Anaerococcus-10"", ""Sphingobium-8"", ""Brevundimonas-12"", ""Lampropedia-12"", ""Bacillus-12"", ""Peredibacter-10"", ""Methylobacterium-14"", ""Moraxella-9"", ""Rhodococcus-10"", ""Noviherbaspirillum-12"", ""Devosia-12""}"
78	"{""Propionibacterium_acnes-8"", ""Acinetobacter_junii-13"", ""Acidovorax-14"", ""Blastomonas-8"", ""Actinomyces-9"", ""Acinetobacter_tjernbergiae-12"", ""Delftia-12""}"
79	"{""Propionibacterium_acnes-10"", ""Comamonas_jiangduensis-11"", ""Veillonella-10"", ""Acinetobacter_junii-14"", ""Acidovorax-11"", ""Comamonas_testosteroni-11"", ""Cloacibacterium-11"", ""Pseudomonas-8"", ""Flavobacterium-7"", ""Streptococcus-8"", ""Tabrizicola-9"", ""Acinetobacter_tjernbergiae-14"", ""Moraxella-7""}"
80	"{""Comamonas_jiangduensis-11"", ""Acinetobacter_junii-14"", ""Acidovorax-11"", ""Zoogloea-8"", ""Comamonas_testosteroni-9"", ""Cloacibacterium-10"", ""Pseudomonas-7"", ""Bosea-8"", ""Flavobacterium-7"", ""Streptococcus-9"", ""Acinetobacter_tjernbergiae-14""}"
81	"{""Sphingomonas-11"", ""Anabaena-14"", ""Candidatus_Liberibacter-8""}"
82	"{""Propionibacterium_acnes-11"", ""Comamonas_jiangduensis-14"", ""Lactobacillus-9"", ""Sphingomonas-9"", ""Cupriavidus-10"", ""Acinetobacter_junii-13"", ""Cloacibacterium-11"", ""Pseudomonas-13"", ""Corynebacterium-10"", ""Stenotrophomonas-10"", ""Acinetobacter_tjernbergiae-10"", ""Acinetobacter_baumannii-9"", ""Pseudacidovorax-9"", ""Clostridium-10""}"
83	"{""Eubacterium-10"", ""Lachnoclostridium-10"", ""Anaerococcus-9"", ""Prevotella-11"", ""Acinetobacter_junii-14"", ""Sphingobium-9"", ""Acidovorax-13"", ""Zoogloea-9"", ""Comamonas_testosteroni-10"", ""Cloacibacterium-11"", ""Pseudomonas-9"", ""Comamonas_denitrificans-8"", ""Bacillus-10"", ""Novosphingobium-8"", ""Streptococcus-10"", ""Enterococcus-8"", ""Blautia-11"", ""Acinetobacter_tjernbergiae-14"", ""Anaerotruncus-8"", ""Delftia-11"", ""Sphingobacterium-9"", ""Oscillibacter-8"", ""Bacteroides-10"", ""Gemmiger-9"", ""Christensenella-8"", ""Anaerobacterium-8"", ""Parabacteroides-10""}"
84	"{""Propionibacterium_acnes-7"", ""Comamonas_jiangduensis-13"", ""Lactobacillus-10"", ""Lachnoclostridium-10"", ""Clostridioides-8"", ""Veillonella-8"", ""Anaerococcus-9"", ""Acinetobacter_junii-14"", ""Acidovorax-7"", ""Cloacibacterium-12"", ""Pseudomonas-11"", ""Tyzzerella-8"", ""Klebsiella-8"", ""Streptococcus-7"", ""Enterococcus-8"", ""Chryseobacterium-7"", ""Cutibacterium-7"", ""Gemella-7"", ""Aquabacterium-8"", ""Blautia-9"", ""Acinetobacter_tjernbergiae-10"", ""Acinetobacter_baumannii-8"", ""Comamonas_terrae-7"", ""Dialister-9"", ""Moraxella-11"", ""Bacteroides-13"", ""Alicycliphilus-7"", ""Eggerthella-7"", ""Snodgrassella-8""}"
85	"{""Propionibacterium_acnes-12"", ""Acinetobacter_junii-13"", ""Sphingobium-8"", ""Acidovorax-14"", ""Zoogloea-9"", ""Comamonas_testosteroni-11"", ""Cloacibacterium-12"", ""Herbaspirillum-9"", ""Pseudomonas-8"", ""Comamonas_denitrificans-8"", ""Vulcaniibacterium-8"", ""Novosphingobium-9"", ""Tabrizicola-8"", ""Aquabacterium-8"", ""Hyphomicrobium-8"", ""Acinetobacter_tjernbergiae-13"", ""Sphingobacterium-10"", ""Rhodococcus-8"", ""Methyloversatilis-8""}"
86	"{""Propionibacterium_acnes-14"", ""Mesorhizobium-12"", ""Flavobacterium-12"", ""Stenotrophomonas-13"", ""Paracoccus-10"", ""Enterococcus-8"", ""Kocuria-11"", ""Actinomyces-10"", ""Moraxella-10""}"
87	"{""Anaerococcus-8"", ""Acinetobacter_junii-13"", ""Sphingobium-9"", ""Acidovorax-13"", ""Zoogloea-9"", ""Comamonas_testosteroni-10"", ""Cloacibacterium-12"", ""Herbaspirillum-8"", ""Pseudomonas-9"", ""Tyzzerella-7"", ""Comamonas_denitrificans-9"", ""Bosea-8"", ""Corynebacterium-9"", ""Novosphingobium-7"", ""Micrococcus-8"", ""Blautia-10"", ""Azonexus-7"", ""Acinetobacter_tjernbergiae-14"", ""Anaerotruncus-10"", ""Alistipes-8"", ""Sphingobacterium-7"", ""Oscillibacter-9"", ""Achromobacter-9"", ""Ruminiclostridium-9"", ""Bacteroides-7"", ""Papillibacter-7"", ""Gemmiger-8"", ""Ruminococcus-8"", ""Facklamia-7"", ""Christensenella-8"", ""Anaerobacterium-7"", ""Methyloversatilis-7""}"
88	"{""Propionibacterium_acnes-8"", ""Comamonas_jiangduensis-13"", ""Lactobacillus-10"", ""Lachnoclostridium-10"", ""Clostridioides-7"", ""Anaerococcus-8"", ""Prevotella-7"", ""Acinetobacter_junii-14"", ""Acidovorax-8"", ""Comamonas_testosteroni-7"", ""Cloacibacterium-12"", ""Pseudomonas-12"", ""Tyzzerella-7"", ""Klebsiella-9"", ""Streptococcus-9"", ""Chryseobacterium-7"", ""Tabrizicola-7"", ""Peptoniphilus-7"", ""Blautia-8"", ""Acinetobacter_tjernbergiae-11"", ""Acinetobacter_baumannii-9"", ""Comamonas_terrae-7"", ""Candidatus_Solibacter-7"", ""Moraxella-11"", ""Ruminiclostridium-7"", ""Bacteroides-13"", ""Diaphorobacter-7""}"
89	"{""Propionibacterium_acnes-13"", ""Acinetobacter_junii-14"", ""Acidovorax-11"", ""Paraburkholderia-13"", ""Zoogloea-12"", ""Comamonas_testosteroni-10"", ""Corynebacterium-9"", ""Pedobacter-11"", ""Cutibacterium-9"", ""Acinetobacter_tjernbergiae-13"", ""Moraxella-11"", ""Micromonospora-10""}"
90	"{""Propionibacterium_acnes-14"", ""Acinetobacter_junii-12"", ""Corynebacterium-13"", ""Acinetobacter_tjernbergiae-10"", ""Acinetobacter_guillouiae-11""}"
91	"{""Propionibacterium_acnes-13"", ""Acinetobacter_junii-14"", ""Acidovorax-11"", ""Paraburkholderia-12"", ""Zoogloea-12"", ""Comamonas_testosteroni-9"", ""Cloacibacterium-9"", ""Pedobacter-11"", ""Cutibacterium-9"", ""Acinetobacter_tjernbergiae-13"", ""Moraxella-11"", ""Micromonospora-11""}"
92	"{""Propionibacterium_acnes-13"", ""Pseudomonas-11"", ""Streptococcus-11"", ""Janthinobacterium-14"", ""Gemmatimonas-9"", ""Methylobacterium-10"", ""Caulobacter-14"", ""Sporocytophaga-13""}"
93	"{""Propionibacterium_acnes-10"", ""Veillonella-13"", ""Acinetobacter_junii-12"", ""Brevundimonas-10"", ""Pseudomonas-11"", ""Bosea-13"", ""Streptococcus-13"", ""Lachnoanaerobaculum-12"", ""Tabrizicola-12"", ""Actinomyces-13"", ""Acinetobacter_tjernbergiae-12"", ""Moraxella-8""}"
94	"{""Propionibacterium_acnes-13"", ""Brevundimonas-14"", ""Novosphingobium-9"", ""Paracoccus-13"", ""Marinomonas-12"", ""Alloprevotella-11"", ""Candidatus_Aquiluna-11""}"
95	"{""Propionibacterium_acnes-14"", ""Acinetobacter_junii-10"", ""Acidovorax-13"", ""Novosphingobium-10"", ""Blastomonas-10"", ""Janibacter-11"", ""Schlegelella-12"", ""Methylobacterium-12"", ""Sediminibacterium-12"", ""Delftia-11"", ""Rhodococcus-12"", ""Noviherbaspirillum-11""}"
96	"{""Propionibacterium_acnes-11"", ""Anaerococcus-11"", ""Acinetobacter_junii-14"", ""Acidovorax-8"", ""Cloacibacterium-10"", ""Corynebacterium-10"", ""Staphylococcus-11"", ""Ottowia-10"", ""Enterococcus-7"", ""Chryseobacterium-10"", ""Enhydrobacter-9"", ""Tabrizicola-13"", ""Kocuria-10"", ""Hyphomicrobium-9"", ""Acinetobacter_tjernbergiae-13"", ""Moraxella-12"", ""Paenibacillus-8"", ""Haematobacter-7""}"
97	"{""Propionibacterium_acnes-11"", ""Acinetobacter_junii-12"", ""Bacillus-11"", ""Streptococcus-8"", ""Alkanindiges-10"", ""Rothia-10"", ""Acinetobacter_tjernbergiae-9"", ""Delftia-14"", ""Moraxella-14""}"
98	"{""Comamonas_jiangduensis-14"", ""Sphingomonas-9"", ""Acinetobacter_junii-10"", ""Cloacibacterium-13"", ""Pseudomonas-8"", ""Enterococcus-11"", ""Neisseria-12"", ""Acinetobacter_baumannii-8"", ""Moraxella-12""}"
99	"{""Propionibacterium_acnes-11"", ""Comamonas_jiangduensis-14"", ""Acinetobacter_junii-13"", ""Acidovorax-8"", ""Pseudomonas-13"", ""Staphylococcus-10"", ""Cutibacterium-8"", ""Acinetobacter_tjernbergiae-8"", ""Delftia-11"", ""Moraxella-10""}"
100	"{""Propionibacterium_acnes-12"", ""Comamonas_jiangduensis-7"", ""Acidovorax-14"", ""Zoogloea-7"", ""Cloacibacterium-12"", ""Pseudomonas-11"", ""Corynebacterium-10"", ""Staphylococcus-8"", ""Novosphingobium-14"", ""Chryseobacterium-7"", ""Microbacterium-8"", ""Rhodococcus-11""}"
101	"{""Propionibacterium_acnes-9"", ""Comamonas_jiangduensis-10"", ""Acinetobacter_junii-14"", ""Acidovorax-13"", ""Cloacibacterium-10"", ""Herbaspirillum-10"", ""Pseudomonas-12"", ""Flavobacterium-8"", ""Bacillus-10"", ""Novosphingobium-9"", ""Cutibacterium-8"", ""Acinetobacter_tjernbergiae-13"", ""Delftia-12""}"
102	"{""Propionibacterium_acnes-7"", ""Acinetobacter_junii-14"", ""Acidovorax-12"", ""Comamonas_testosteroni-13"", ""Cloacibacterium-10"", ""Pseudomonas-8"", ""Brevibacterium-12"", ""Klebsiella-6"", ""Novosphingobium-10"", ""Actinomyces-8"", ""Acinetobacter_tjernbergiae-14"", ""Acinetobacter_haemolyticus-6""}"
103	"{""Propionibacterium_acnes-12"", ""Sphingomonas-10"", ""Anaerococcus-10"", ""Acinetobacter_junii-9"", ""Sphingobium-10"", ""Mesorhizobium-10"", ""Cloacibacterium-10"", ""Pseudomonas-11"", ""Aciditerrimonas-10"", ""Staphylococcus-8"", ""Stenotrophomonas-10"", ""Streptococcus-12"", ""Thermacetogenium-12"", ""Dongia-7"", ""Conexibacter-11"", ""Methylocapsa-11"", ""Hymenobacter-11"", ""Rhizobacter-9"", ""Gaiella-12"", ""Microlunatus-12"", ""Acidicapsa-10"", ""Janthinobacterium-13"", ""Chthoniobacter-10"", ""Actinoallomurus-11"", ""Ideonella-10"", ""Flavisolibacter-11"", ""Nocardioides-10"", ""Aquabacterium-8"", ""Ralstonia-8"", ""Candidatus_Koribacter-9"", ""Burkholderia-7"", ""Solirubrobacter-13"", ""Candidatus_Solibacter-9"", ""Nitratireductor-7"", ""Massilia-11"", ""Empedobacter-7"", ""Legionella-12"", ""Achromobacter-10"", ""Bradyrhizobium-9"", ""Methylibium-9"", ""Jatrophihabitans-11"", ""Acinetobacter_guillouiae-8"", ""Rhodoplanes-9"", ""Exiguobacterium-12"", ""Duganella-9"", ""Rhodopseudomonas-9"", ""Actinoplanes-13"", ""Ilumatobacter-7"", ""Asanoa-7"", ""Frondihabitans-11"", ""Marmoricola-9""}"
104	"{""Propionibacterium_acnes-13"", ""Comamonas_jiangduensis-11"", ""Veillonella-9"", ""Anaerococcus-8"", ""Acinetobacter_junii-14"", ""Acidovorax-11"", ""Cloacibacterium-12"", ""Pseudomonas-12"", ""Bosea-7"", ""Bacillus-9"", ""Klebsiella-11"", ""Ottowia-10"", ""Stenotrophomonas-12"", ""Streptococcus-11"", ""Microlunatus-7"", ""Sediminibacterium-10"", ""Acinetobacter_tjernbergiae-10"", ""Delftia-9"", ""Moraxella-8"", ""Mucilaginibacter-8""}"
105	"{""Propionibacterium_acnes-13"", ""Herbaspirillum-7"", ""Ottowia-11"", ""Roseomonas-12"", ""Tabrizicola-11"", ""Delftia-8"", ""Arthrobacter-9"", ""Achromobacter-14"", ""Desulfonispora-7""}"
106	"{""Propionibacterium_acnes-13"", ""Sphingomonas-11"", ""Acidovorax-13"", ""Cloacibacterium-11"", ""Pseudoxanthomonas-8"", ""Bacillus-8"", ""Novosphingobium-9"", ""Roseomonas-14"", ""Enterococcus-7"", ""Blastomonas-10"", ""Chryseobacterium-11"", ""Microbacterium-8"", ""Flavihumibacter-13"", ""Delftia-11"", ""Sphaerobacter-11"", ""Novispirillum-7""}"
107	"{""Propionibacterium_acnes-14"", ""Acidovorax-7"", ""Streptococcus-12"", ""Shigella-14"", ""Achromobacter-13""}"
108	"{""Comamonas_jiangduensis-13"", ""Acidovorax-11"", ""Cloacibacterium-8"", ""Herbaspirillum-9"", ""Pseudomonas-14"", ""Streptococcus-11"", ""Noviherbaspirillum-12""}"
109	"{""Comamonas_jiangduensis-12"", ""Acidovorax-7"", ""Cloacibacterium-14"", ""Agrococcus-9"", ""Acinetobacter_tjernbergiae-8"", ""Ornatilinea-12"", ""Delftia-11"", ""Moraxella-14"", ""Ornithobacterium-8"", ""Devosia-12"", ""Planctopirus-11""}"
110	"{""Propionibacterium_acnes-13"", ""Delftia-12"", ""Massilia-14"", ""Virgibacillus-12""}"
111	"{""Kocuria-14"", ""Sediminibacterium-11"", ""Blastocatella-14""}"
112	"{""Propionibacterium_acnes-13"", ""Variovorax-13"", ""Herbaspirillum-11"", ""Corynebacterium-11"", ""Streptococcus-12"", ""Methylobacterium-13"", ""Rhodococcus-11"", ""Epilithonimonas-12"", ""Noviherbaspirillum-13"", ""Aliihoeflea-12""}"
113	"{""Propionibacterium_acnes-11"", ""Klebsiella-13"", ""Chryseobacterium-12"", ""Pelobacter-12"", ""Rubellimicrobium-14"", ""Acinetobacter_guillouiae-13""}"
114	"{""Bosea-11"", ""Corynebacterium-11"", ""Microbacterium-11"", ""Neomicrococcus-13"", ""Delftia-14"", ""Moraxella-11"", ""Aquisphaera-13"", ""Epilithonimonas-11"", ""Phenylobacterium-11""}"
115	"{""Propionibacterium_acnes-13"", ""Cloacibacterium-13"", ""Stenotrophomonas-12"", ""Lysinibacillus-13"", ""Delftia-11"", ""Meiothermus-13""}"
116	"{""Propionibacterium_acnes-14"", ""Streptococcus-10"", ""Alloprevotella-10"", ""Moraxella-12""}"
117	"{""Propionibacterium_acnes-12"", ""Anaerococcus-13"", ""Sediminibacterium-14""}"
118	"{""Sphingomonas-14"", ""Acinetobacter_junii-11"", ""Sphingobium-10"", ""Acidovorax-12"", ""Variovorax-11"", ""Comamonas_testosteroni-10"", ""Comamonas_denitrificans-11"", ""Bosea-12"", ""Chryseobacterium-11"", ""Peptoniphilus-10"", ""Acinetobacter_tjernbergiae-12"", ""Anabaena-13"", ""Moraxella-10""}"
119	"{""Propionibacterium_acnes-14"", ""Corynebacterium-12"", ""Paracoccus-11"", ""Silanimonas-12""}"
120	"{""Propionibacterium_acnes-14"", ""Achromobacter-14"", ""Clostridium-14""}"
121	"{""Propionibacterium_acnes-14"", ""Clostridioides-13"", ""Corynebacterium-13"", ""Microbacterium-13"", ""Moraxella-12""}"
122	"{""Propionibacterium_acnes-12"", ""Acinetobacter_junii-12"", ""Acidovorax-14"", ""Bacillus-14""}"
123	"{""Propionibacterium_acnes-11"", ""Bacillus-14"", ""Methylobacterium-14"", ""Meiothermus-12"", ""Noviherbaspirillum-11""}"